Datetime,sentimentScore
2020-10-07,0.44
2020-10-08,0.32
2020-10-09,0.34
2020-10-10,0.27
2020-10-11,0.41
2020-10-12,0.39
2020-10-13,0.35
2020-10-14,0.28
2020-10-15,0.31
2020-10-16,0.29
2020-10-17,0.28
2020-10-18,0.27
2020-10-19,0.27
2020-10-20,0.25
2020-10-21,0.27
2020-10-22,0.26
2020-10-23,0.26
2020-10-24,0.26
2020-10-25,0.27
2020-10-26,0.29
2020-10-27,0.24
2020-10-28,0.23
2020-10-29,0.21
2020-10-30,0.22
2020-10-31,0.23
2020-11-01,0.25
2020-11-02,0.22
2020-11-03,0.24
2020-11-04,0.23
2020-11-05,0.25
2020-11-06,0.27
2020-11-07,0.29
2020-11-08,0.29
2020-11-09,0.3
2020-11-10,0.29
2020-11-11,0.3
2020-11-12,0.3
2020-11-13,0.33
2020-11-14,0.33
2020-11-15,0.3
2020-11-16,0.26
2020-11-17,0.25
2020-11-18,0.25
2020-11-19,0.25
2020-11-20,0.26
2020-11-21,0.26
2020-11-22,0.25
2020-11-23,0.23
2020-11-24,0.24
2020-11-25,0.27
2020-11-26,0.29
2020-11-27,0.32
2020-11-28,0.31
2020-11-29,0.31
2020-11-30,0.31
2020-12-01,0.3
2020-12-02,0.31
2020-12-03,0.31
2020-12-04,0.34
2020-12-05,0.32
2020-12-06,0.32
2020-12-07,0.31
2020-12-08,0.32
2020-12-09,0.32
2020-12-10,0.3
2020-12-11,0.29
2020-12-12,0.28
2020-12-13,0.28
2020-12-14,0.29
2020-12-15,0.3
2020-12-16,0.3
2020-12-17,0.28
2020-12-18,0.29
2020-12-19,0.29
2020-12-20,0.29
2020-12-21,0.3
2020-12-22,0.32
2020-12-23,0.34
2020-12-24,0.36
2020-12-25,0.36
2020-12-26,0.38
2020-12-27,0.38
2020-12-28,0.37
2020-12-29,0.41
2020-12-30,0.42
2020-12-31,0.4
2021-01-01,0.42
2021-01-02,0.42
2021-01-03,0.42
2021-01-04,0.41
2021-01-05,0.42
2021-01-06,0.44
2021-01-07,0.47
2021-01-08,0.47
2021-01-09,0.47
2021-01-10,0.47
2021-01-11,0.46
2021-01-12,0.46
2021-01-13,0.45
2021-01-14,0.43
2021-01-15,0.4
2021-01-16,0.4
2021-01-17,0.39
2021-01-18,0.4
2021-01-19,0.4
2021-01-20,0.42
2021-01-21,0.36
2021-01-22,0.34
2021-01-23,0.34
2021-01-24,0.35
2021-01-25,0.36
2021-01-26,0.36
2021-01-27,0.36
2021-01-28,0.38
2021-01-29,0.38
2021-01-30,0.38
2021-01-31,0.38
2021-02-01,0.39
2021-02-02,0.37
2021-02-03,0.36
2021-02-04,0.37
2021-02-05,0.37
2021-02-06,0.36
2021-02-07,0.37
2021-02-08,0.37
2021-02-09,0.38
2021-02-10,0.39
2021-02-11,0.37
2021-02-12,0.37
2021-02-13,0.37
2021-02-14,0.37
2021-02-15,0.36
2021-02-16,0.32
2021-02-17,0.32
2021-02-18,0.33
2021-02-19,0.33
2021-02-20,0.31
2021-02-21,0.32
2021-02-22,0.34
2021-02-23,0.34
2021-02-24,0.31
2021-02-25,0.29
2021-02-26,0.28
2021-02-27,0.27
2021-02-28,0.27
2021-03-01,0.28
2021-03-02,0.29
2021-03-03,0.29
2021-03-04,0.27
2021-03-05,0.25
2021-03-06,0.25
2021-03-07,0.24
2021-03-08,0.24
2021-03-09,0.23
2021-03-10,0.24
2021-03-11,0.23
2021-03-12,0.19
2021-03-13,0.18
2021-03-14,0.18
2021-03-15,0.17
2021-03-16,0.17
2021-03-17,0.16
2021-03-18,0.16
2021-03-19,0.16
2021-03-20,0.16
2021-03-21,0.16
2021-03-22,0.16
2021-03-23,0.16
2021-03-24,0.17
2021-03-25,0.17
2021-03-26,0.17
2021-03-27,0.15
2021-03-28,0.15
2021-03-29,0.15
2021-03-30,0.15
2021-03-31,0.13
2021-04-01,0.13
2021-04-02,0.14
2021-04-03,0.14
2021-04-04,0.12
2021-04-05,0.14
2021-04-06,0.14
2021-04-07,0.13
2021-04-08,0.13
2021-04-09,0.12
2021-04-10,0.12
2021-04-11,0.14
2021-04-12,0.14
2021-04-13,0.14
2021-04-14,0.15
2021-04-15,0.15
2021-04-16,0.15
2021-04-17,0.15
2021-04-18,0.15
2021-04-19,0.15
2021-04-20,0.15
2021-04-21,0.15
2021-04-22,0.15
2021-04-23,0.15
2021-04-24,0.15
2021-04-25,0.15
2021-04-26,0.17
2021-04-27,0.17
