Datetime,sentimentScore
2018-04-16,0.54
2018-04-17,0.48
2018-04-18,0.58
2018-04-19,0.54
2018-04-20,0.49
2018-04-21,0.51
2018-04-22,0.5
2018-04-23,0.5
2018-04-24,0.49
2018-04-25,0.5
2018-04-26,0.46
2018-04-27,0.46
2018-04-28,0.48
2018-04-29,0.44
2018-04-30,0.45
2018-05-01,0.47
2018-05-02,0.46
2018-05-03,0.45
2018-05-04,0.5
2018-05-05,0.51
2018-05-06,0.52
2018-05-07,0.52
2018-05-08,0.52
2018-05-09,0.51
2018-05-10,0.52
2018-05-11,0.54
2018-05-12,0.56
2018-05-13,0.56
2018-05-14,0.56
2018-05-15,0.54
2018-05-16,0.55
2018-05-17,0.53
2018-05-18,0.52
2018-05-19,0.54
2018-05-20,0.57
2018-05-21,0.58
2018-05-22,0.58
2018-05-23,0.58
2018-05-24,0.58
2018-05-25,0.61
2018-05-26,0.61
2018-05-27,0.61
2018-05-28,0.61
2018-05-29,0.61
2018-05-30,0.61
2018-05-31,0.63
2018-06-01,0.64
2018-06-02,0.64
2018-06-03,0.64
2018-06-04,0.64
2018-06-05,0.64
2018-06-06,0.63
2018-06-07,0.63
2018-06-08,0.64
2018-06-09,0.65
2018-06-10,0.65
2018-06-11,0.65
2018-06-12,0.65
2018-06-13,0.65
2018-06-14,0.64
2018-06-15,0.64
2018-06-16,0.64
2018-06-17,0.64
2018-06-18,0.64
2018-06-19,0.64
2018-06-20,0.64
2018-06-21,0.64
2018-06-22,0.64
2018-06-23,0.64
2018-06-24,0.64
2018-06-25,0.64
2018-06-26,0.64
2018-06-27,0.64
2018-06-28,0.64
2018-06-29,0.64
2018-06-30,0.64
2018-07-01,0.64
2018-07-02,0.64
2018-07-03,0.64
2018-07-04,0.64
2018-07-05,0.64
2018-07-06,0.64
2018-07-07,0.64
2018-07-08,0.62
2018-07-09,0.61
2018-07-10,0.6
2018-07-11,0.61
2018-07-12,0.61
2018-07-13,0.61
2018-07-14,0.61
2018-07-15,0.61
2018-07-16,0.61
2018-07-17,0.61
2018-07-18,0.61
2018-07-19,0.59
2018-07-20,0.59
2018-07-21,0.59
2018-07-22,0.59
2018-07-23,0.6
2018-07-24,0.6
2018-07-25,0.6
2018-07-26,0.6
