Datetime,sentimentScore
2020-09-29,0.32
2020-09-30,0.28
2020-10-01,0.4
2020-10-02,0.41
2020-10-03,0.4
2020-10-04,0.33
2020-10-05,0.39
2020-10-06,0.41
2020-10-07,0.44
2020-10-08,0.43
2020-10-09,0.44
2020-10-10,0.46
2020-10-11,0.46
2020-10-12,0.48
2020-10-13,0.53
2020-10-14,0.5
2020-10-15,0.53
2020-10-16,0.52
2020-10-17,0.52
2020-10-18,0.54
2020-10-19,0.56
2020-10-20,0.55
2020-10-21,0.49
2020-10-22,0.45
2020-10-23,0.45
2020-10-24,0.46
2020-10-25,0.46
2020-10-26,0.47
2020-10-27,0.53
2020-10-28,0.52
2020-10-29,0.51
2020-10-30,0.54
2020-10-31,0.57
2020-11-01,0.57
2020-11-02,0.57
2020-11-03,0.56
2020-11-04,0.53
2020-11-05,0.54
2020-11-06,0.56
2020-11-07,0.57
2020-11-08,0.56
2020-11-09,0.58
2020-11-10,0.6
2020-11-11,0.6
2020-11-12,0.6
2020-11-13,0.61
2020-11-14,0.61
2020-11-15,0.61
2020-11-16,0.61
2020-11-17,0.63
2020-11-18,0.63
2020-11-19,0.61
2020-11-20,0.62
2020-11-21,0.62
2020-11-22,0.63
2020-11-23,0.63
2020-11-24,0.63
2020-11-25,0.6
2020-11-26,0.58
2020-11-27,0.6
2020-11-28,0.57
2020-11-29,0.55
2020-11-30,0.57
2020-12-01,0.55
2020-12-02,0.55
2020-12-03,0.53
2020-12-04,0.53
2020-12-05,0.52
2020-12-06,0.49
2020-12-07,0.5
2020-12-08,0.5
2020-12-09,0.5
2020-12-10,0.49
2020-12-11,0.47
2020-12-12,0.47
2020-12-13,0.47
2020-12-14,0.45
2020-12-15,0.45
2020-12-16,0.45
2020-12-17,0.45
2020-12-18,0.45
2020-12-19,0.46
2020-12-20,0.51
2020-12-21,0.5
2020-12-22,0.5
2020-12-23,0.5
2020-12-24,0.5
2020-12-25,0.5
2020-12-26,0.5
2020-12-27,0.49
2020-12-28,0.49
2020-12-29,0.49
2020-12-30,0.49
2020-12-31,0.48
2021-01-01,0.43
2021-01-02,0.42
2021-01-03,0.38
2021-01-04,0.39
2021-01-05,0.39
2021-01-06,0.39
2021-01-07,0.39
2021-01-08,0.4
2021-01-09,0.39
2021-01-10,0.4
2021-01-11,0.37
2021-01-12,0.38
2021-01-13,0.41
2021-01-14,0.42
2021-01-15,0.43
2021-01-16,0.42
2021-01-17,0.42
2021-01-18,0.41
2021-01-19,0.39
2021-01-20,0.39
2021-01-21,0.39
2021-01-22,0.39
2021-01-23,0.4
2021-01-24,0.4
2021-01-25,0.39
2021-01-26,0.39
2021-01-27,0.37
2021-01-28,0.38
2021-01-29,0.38
2021-01-30,0.39
2021-01-31,0.35
2021-02-01,0.35
2021-02-02,0.32
2021-02-03,0.32
2021-02-04,0.33
2021-02-05,0.35
2021-02-06,0.35
2021-02-07,0.34
2021-02-08,0.34
2021-02-09,0.35
2021-02-10,0.35
2021-02-11,0.35
2021-02-12,0.32
2021-02-13,0.33
2021-02-14,0.34
2021-02-15,0.35
2021-02-16,0.36
2021-02-17,0.36
2021-02-18,0.37
2021-02-19,0.37
2021-02-20,0.38
2021-02-21,0.36
2021-02-22,0.36
2021-02-23,0.36
2021-02-24,0.35
2021-02-25,0.35
2021-02-26,0.35
2021-02-27,0.36
2021-02-28,0.37
2021-03-01,0.36
2021-03-02,0.37
2021-03-03,0.38
2021-03-04,0.38
2021-03-05,0.38
2021-03-06,0.4
2021-03-07,0.38
2021-03-08,0.38
2021-03-09,0.38
2021-03-10,0.39
2021-03-11,0.39
2021-03-12,0.38
2021-03-13,0.38
2021-03-14,0.38
2021-03-15,0.38
2021-03-16,0.38
2021-03-17,0.38
2021-03-18,0.37
2021-03-19,0.37
2021-03-20,0.37
2021-03-21,0.37
2021-03-22,0.36
2021-03-23,0.35
2021-03-24,0.33
2021-03-25,0.33
2021-03-26,0.32
2021-03-27,0.32
2021-03-28,0.32
2021-03-29,0.33
2021-03-30,0.33
2021-03-31,0.34
2021-04-01,0.34
2021-04-02,0.34
2021-04-03,0.34
2021-04-04,0.34
2021-04-05,0.34
2021-04-06,0.33
2021-04-07,0.31
2021-04-08,0.31
2021-04-09,0.32
2021-04-10,0.32
2021-04-11,0.32
2021-04-12,0.32
2021-04-13,0.34
2021-04-14,0.33
2021-04-15,0.33
2021-04-16,0.33
2021-04-17,0.33
2021-04-18,0.33
2021-04-19,0.33
2021-04-20,0.33
2021-04-21,0.31
2021-04-22,0.32
2021-04-23,0.31
2021-04-24,0.31
2021-04-25,0.3
2021-04-26,0.3
